"","norm_rank","set"
"503",0.0201232197151544,"hv"
"504",0.0201632261161786,"hv"
"505",0.0202032325172028,"hv"
"506",0.0202432389182269,"hv"
"514",0.0205632901264202,"hv"
"528",0.0211233797407585,"hv"
"531",0.021243398943831,"hv"
"857",0.0342854856777084,"hv"
"1546",0.0618498959833573,"hv"
"1551",0.0620499279884782,"hv"
"1552",0.0620899343895023,"hv"
"1907",0.0762922067530805,"hv"
"2003",0.0801328212514002,"hv"
"2006",0.0802528404544727,"hv"
"2007",0.0802928468554969,"hv"
"2585",0.103416546647464,"hv"
"2619",0.104776764282285,"hv"
"2630",0.105216834693551,"hv"
"2711",0.108457353176508,"hv"
"3211",0.12846055368859,"hv"
"3401",0.136061769883181,"hv"
"3609",0.144383101296207,"hv"
"5730",0.229236677868459,"hv"
"6536",0.261481837093935,"hv"
"9949",0.398023683789406,"hv"
"10083",0.403384541526644,"hv"
"11534",0.461433829412706,"hv"
"11839",0.473635781725076,"hv"
"12295",0.491878700592095,"hv"
"13325",0.533085293646984,"hv"
"13492",0.539766362618019,"hv"
"15225",0.609097455592895,"hv"
"18802",0.752200352056329,"hv"
"18857",0.754400704112658,"hv"
"19113",0.764642342774844,"hv"
"168",0.00672107537205953,"non-hv"
"483",0.0193230916946711,"non-hv"
"562",0.0224835973755801,"non-hv"
"563",0.0225236037766043,"non-hv"
"915",0.0366058569371099,"non-hv"
"1839",0.0735717714834374,"non-hv"
"2005",0.0802128340534485,"non-hv"
"2026",0.081052968474956,"non-hv"
"2027",0.0810929748759802,"non-hv"
"2151",0.0860537686029765,"non-hv"
"2652",0.106096975516083,"non-hv"
"2657",0.106297007521203,"non-hv"
"2658",0.106337013922228,"non-hv"
"2659",0.106377020323252,"non-hv"
"2695",0.107817250760122,"non-hv"
"2721",0.10885741718675,"non-hv"
"2868",0.114738358137302,"non-hv"
"2907",0.116298607777244,"non-hv"
"2927",0.117098735797728,"non-hv"
"3065",0.122619619139062,"non-hv"
"3230",0.129220675308049,"non-hv"
"5291",0.211673867818851,"non-hv"
"5635",0.225436069771163,"non-hv"
"6572",0.262922067530805,"non-hv"
"7499",0.300008001280205,"non-hv"
"7534",0.301408225316051,"non-hv"
"8175",0.32705232837254,"non-hv"
"8354",0.334213474155865,"non-hv"
"8857",0.354336693871019,"non-hv"
"9055",0.362257961273804,"non-hv"
"9076",0.363098095695311,"non-hv"
"9152",0.366138582173148,"non-hv"
"9259",0.370419267082733,"non-hv"
"9314",0.372619619139062,"non-hv"
"9537",0.381541046567451,"non-hv"
"9670",0.386861897903665,"non-hv"
"9846",0.393903024483917,"non-hv"
"9897",0.39594335093615,"non-hv"
"10224",0.409025444071051,"non-hv"
"10438",0.417586813890222,"non-hv"
"10454",0.418226916306609,"non-hv"
"10692",0.42774843975036,"non-hv"
"10857",0.434349495919347,"non-hv"
"11618",0.464794367098736,"non-hv"
"11644",0.465834533525364,"non-hv"
"11968",0.478796607457193,"non-hv"
"11978",0.479196671467435,"non-hv"
"12176",0.487117938870219,"non-hv"
"12750",0.510081613058089,"non-hv"
"12997",0.519963194111058,"non-hv"
"13062",0.522563610177628,"non-hv"
"13460",0.538486157785246,"non-hv"
"13728",0.549207873259722,"non-hv"
"13798",0.552008321331413,"non-hv"
"14360",0.574491918706993,"non-hv"
"14526",0.581132981277004,"non-hv"
"14655",0.586293807009121,"non-hv"
"14657",0.58637381981117,"non-hv"
"14894",0.595855336853897,"non-hv"
"15162",0.606577052328373,"non-hv"
"15465",0.618698991838694,"non-hv"
"15719",0.628860617698832,"non-hv"
"15747",0.629980796927508,"non-hv"
"16063",0.642622819651144,"non-hv"
"16528",0.66122579612738,"non-hv"
"16766",0.670747319571131,"non-hv"
"17413",0.696631461033765,"non-hv"
"17573",0.703032485197632,"non-hv"
"17705",0.708313330132821,"non-hv"
"17784",0.71147383581373,"non-hv"
"18013",0.720635301648264,"non-hv"
"18173",0.72703632581213,"non-hv"
"18491",0.739758361337814,"non-hv"
"18638",0.745639302288366,"non-hv"
"18923",0.757041126580253,"non-hv"
"18945",0.757921267402784,"non-hv"
"19132",0.765402464394303,"non-hv"
"19219",0.768883021283405,"non-hv"
"19421",0.776964314290286,"non-hv"
"19787",0.79160665706513,"non-hv"
"19907",0.79640742518803,"non-hv"
"20086",0.803568570971355,"non-hv"
"20479",0.819291086573852,"non-hv"
"20908",0.836453832613218,"non-hv"
"20912",0.836613858217315,"non-hv"
"21073",0.843054888782205,"non-hv"
"21399",0.856096975516083,"non-hv"
"21678",0.867258761401824,"non-hv"
"21731",0.869379100656105,"non-hv"
"22119",0.884901584253481,"non-hv"
"22128",0.885261641862698,"non-hv"
"22200",0.888142102736438,"non-hv"
"22275",0.89114258281325,"non-hv"
"22991",0.919787165946551,"non-hv"
"23007",0.920427268362938,"non-hv"
"23081",0.923387742038726,"non-hv"
"24506",0.98039686349816,"non-hv"
